"","statename","obama_kerry","IAT","GoogleRacism"
"1","ALABAMA",2.006867409,0.439,76.40000153
"2","ALASKA",2.161496878,0.382,49.91999817
"3","ARIZONA",0.9611040354,0.398,51.43999863
"4","ARKANSAS",-5.23829174,0.411,69.63999939
"5","CALIFORNIA",7.237130165,0.392,57.40999985
"6","COLORADO",6.916865826,0.358,38.66999817
"7","CONNECTICUT",6.043392181,0.416,67.76000214
"8","DELAWARE",8.806633949,0.446,64.83000183
"9","DISTRICT_OF_COLUMBIA",2.880489826,0.371,44.22999954
"10","FLORIDA",3.94333601,0.438,71.30999756
"11","GEORGIA",5.725896358,0.437,68.76000214
"12","HAWAII",18.58927536,0.369,33.72000122
"13","IDAHO",6.298148632,0.356,39.31000137
"14","ILLINOIS",7.528853416,0.415,65.33999634
"15","INDIANA",10.94542694,0.409,63.02000046
"16","IOWA",5.185458183,0.392,53.47000122
"17","KANSAS",5.254822731,0.397,62.45999908
"18","KENTUCKY",1.774191856,0.408,82.47000122
"19","LOUISIANA",-2.12623167,0.449,85.98999786
"20","MAINE",4.246502876,0.374,56.31999969
"21","MARYLAND",6.364506721,0.413,63.99000168
"22","MASSACHUSETTS",0.454223156,0.396,52.31999969
"23","MICHIGAN",6.645452976,0.402,78.30999756
"24","MINNESOTA",3.468465805,0.392,45.52000046
"25","MISSISSIPPI",2.863070488,0.456,82.55999756
"26","MISSOURI",3.552132845,0.415,67.63999939
"27","MONTANA",9.330672264,0.357,47.79000092
"28","NEBRASKA",9.238261223,0.399,54.86000061
"29","NEVADA",7.704335213,0.404,66.93000031
"30","NEW_HAMPSHIRE",4.178256035,0.396,54.40000153
"31","NEW_JERSEY",4.494094849,0.437,74.20999908
"32","NEW_MEXICO",8.065235138,0.341,39.22000122
"33","NEW_YORK",4.288101196,0.411,70.66999817
"34","NORTH_CAROLINA",6.407934189,0.425,69.01000214
"35","NORTH_DAKOTA",9.500697136,0.391,53.79999924
"36","OHIO",3.394585848,0.421,77.54000092
"37","OKLAHOMA",-0.07467865944,0.399,64.58000183
"38","OREGON",6.305092812,0.343,46.56000137
"39","PENNSYLVANIA",3.971421719,0.417,85.37000275
"40","RHODE_ISLAND",3.620624542,0.404,69.94999695
"41","SOUTH_CAROLINA",4.090931892,0.454,76.48999786
"42","SOUTH_DAKOTA",6.617584705,0.382,50.22000122
"43","TENNESSEE",-0.4460275173,0.421,72.76999664
"44","TEXAS",5.574255943,0.416,61.77999878
"45","UTAH",8.820077896,0.385,30.29000092
"46","VERMONT",8.598184586,0.384,58.88999939
"47","VIRGINIA",7.316279411,0.417,59.25
"48","WASHINGTON",5.105483532,0.365,50.29000092
"49","WEST_VIRGINIA",-0.1940339804,0.414,100
"50","WISCONSIN",6.863874435,0.395,62.81000137
"51","WYOMING",3.750679016,0.348,48.38000107
