"","state","StormfrontMembersJoiningPreRecession","UnemploymentPreRecession","StormfrontMembersJoiningPostRecession","UnemploymentPostRecession","ExposureRecession","ChangeStormfront","Population"
"1","AK",13,6.30416666666667,25,7.83333333333333,1.52916666666667,0.653926467406664,683142
"2","AL",63,3.42916666666667,82,9.45416666666667,6.025,0.263584520872721,4633360
"3","AR",28,5.29166666666667,55,7.70833333333333,2.41666666666667,0.675128675057267,2838143
"4","AZ",71,3.9125,159,10.1208333333333,6.20833333333333,0.806224325178916,6324865
"5","CA",275,5.12083333333333,477,11.85,6.72916666666667,0.55074539322177,36308528
"6","CO",65,4.04583333333333,115,8.525,4.47916666666667,0.570544858467613,4843211
"7","CT",18,4.50416666666667,32,8.75833333333333,4.25416666666667,0.575364144903562,3494487
"8","DC",5,5.59166666666667,5,9.87083333333333,4.27916666666667,0,588433
"9","DE",10,3.53333333333333,18,7.94583333333333,4.4125,0.587786664902119,863832
"10","FL",195,3.6625,354,10.8416666666667,7.17916666666667,0.596297354570027,18222420
"11","GA",82,4.68333333333333,161,9.95416666666667,5.27083333333333,0.67468511772021,9497667
"12","HI",3,2.57916666666667,13,6.77916666666667,4.2,1.46633706879343,1280241
"13","IA",28,3.74583333333333,73,6.275,2.52916666666667,0.958254930973187,2978880
"14","ID",24,2.97083333333333,43,8.0625,5.09166666666667,0.583146285345617,1492573
"15","IL",89,4.85416666666667,120,10.225,5.37083333333333,0.298855373049906,12785043
"16","IN",55,4.79166666666667,140,10.1666666666667,5.375,0.934309237376833,6342469
"17","KS",35,4.25416666666667,51,7.09166666666667,2.8375,0.376477571234912,2777835
"18","KY",44,5.77083333333333,104,10.2458333333333,4.475,0.860201265223111,4252000
"19","LA",40,3.86666666666667,56,7.00833333333333,3.14166666666667,0.336472236621213,4411546
"20","MA",32,4.64583333333333,64,8.20416666666667,3.55833333333333,0.693147180559945,6511176
"21","MD",40,3.62916666666667,71,7.6,3.97083333333333,0.573800422927379,5637418
"22","ME",14,4.70416666666667,31,8.15,3.44583333333333,0.794929874869888,1316380
"23","MI",104,6.97916666666667,150,13.0458333333333,6.06666666666667,0.366244394954883,10039208
"24","MN",38,4.37916666666667,80,7.675,3.29583333333333,0.744440474947496,5188581
"25","MO",48,4.92916666666667,92,9.3625,4.43333333333333,0.650587566141149,5904382
"26","MS",25,6.54166666666667,53,10.0125,3.47083333333333,0.751416088683921,2922240
"27","MT",15,3.3375,35,6.375,3.0375,0.847297860387203,956257
"28","NC",66,4.7625,155,10.6166666666667,5.85416666666667,0.853770374892822,9045705
"29","ND",11,3.15,11,3.92083333333333,0.770833333333333,0,639725
"30","NE",10,3.00416666666667,18,4.6875,1.68333333333333,0.587786664902119,1772124
"31","NH",10,3.54166666666667,25,6.1875,2.64583333333333,0.916290731874155,1315419
"32","NJ",47,4.47916666666667,89,9.2875,4.80833333333333,0.638488768022081,8650548
"33","NM",18,3.79583333333333,25,7.4125,3.61666666666667,0.328504066972036,1964860
"34","NV",35,4.45416666666667,47,12.7291666666667,8.275,0.294799540220645,2545763
"35","NY",101,4.59166666666667,178,8.47916666666667,3.8875,0.566663033450825,19423896
"36","OH",128,5.52916666666667,228,10.075,4.54583333333333,0.577315365034824,11511858
"37","OK",39,4.11666666666667,82,6.77916666666667,2.6625,0.743157601134607,3610073
"38","OR",63,5.25833333333333,106,10.925,5.66666666666667,0.520304367720534,3727407
"39","PA",111,4.45416666666667,173,8.19166666666667,3.7375,0.443761393185445,12516596
"40","RI",8,5.12916666666667,8,11.325,6.19583333333333,0,1057381
"41","SC",37,5.9875,68,11.2458333333333,5.25833333333333,0.608589792531883,4416867
"42","SD",5,3.00833333333333,12,5.0875,2.07916666666667,0.8754687373539,796513
"43","TN",56,4.98333333333333,144,10.1875,5.20416666666667,0.944461608840851,6158953
"44","TX",253,4.63333333333333,484,7.84166666666667,3.20833333333333,0.648695417989112,23819042
"45","UT",17,2.78333333333333,53,7.925,5.14166666666667,1.13707856949591,2651816
"46","VA",63,3.05833333333333,115,7.0125,3.95416666666667,0.601797401971718,7721730
"47","VT",8,3.82916666666667,9,6.61666666666667,2.7875,0.117783035656384,620414
"48","WA",89,4.75,150,9.62083333333333,4.87083333333333,0.521998924364116,6465755
"49","WI",48,4.73333333333333,95,8.6,3.86666666666667,0.68267588069265,5599420
"50","WV",28,4.375,34,8.0375,3.6625,0.194156014440958,1811403
"51","WY",7,2.98333333333333,10,6.675,3.69166666666667,0.356674943938733,523949
